"@timestamp","@version","@version.keyword","_id","_index","_score","event.original","event.original.keyword","host.ip","host.ip.keyword",message,"message.keyword",tags,"tags.keyword",type,"type.keyword"
"Oct 25, 2022 @ 04:38:40.166",1,1,"29rvDoQBvD32VbPe_2pA","syslog-2022.10.25","-","<13>Oct 25 11:38:40 dhclient[5208]: Creating resolv.conf","<13>Oct 25 11:38:40 dhclient[5208]: Creating resolv.conf","192.168.169.1","192.168.169.1","<13>Oct 25 11:38:40 dhclient[5208]: Creating resolv.conf","<13>Oct 25 11:38:40 dhclient[5208]: Creating resolv.conf",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:38:40.165",1,1,"3drvDoQBvD32VbPe_2pA","syslog-2022.10.25","-","<13>Oct 25 11:38:40 dhclient[4909]: RENEW","<13>Oct 25 11:38:40 dhclient[4909]: RENEW","192.168.169.1","192.168.169.1","<13>Oct 25 11:38:40 dhclient[4909]: RENEW","<13>Oct 25 11:38:40 dhclient[4909]: RENEW",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:38:40.160",1,1,"3trvDoQBvD32VbPe_2pA","syslog-2022.10.25","-","<30>Oct 25 11:38:40 dhclient[42632]: DHCPACK from 192.168.40.254","<30>Oct 25 11:38:40 dhclient[42632]: DHCPACK from 192.168.40.254","192.168.169.1","192.168.169.1","<30>Oct 25 11:38:40 dhclient[42632]: DHCPACK from 192.168.40.254","<30>Oct 25 11:38:40 dhclient[42632]: DHCPACK from 192.168.40.254",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:38:40.160",1,1,"2trvDoQBvD32VbPe_2pA","syslog-2022.10.25","-","<30>Oct 25 11:38:40 dhclient[42632]: DHCPREQUEST on em0 to 192.168.40.254 port 67","<30>Oct 25 11:38:40 dhclient[42632]: DHCPREQUEST on em0 to 192.168.40.254 port 67","192.168.169.1","192.168.169.1","<30>Oct 25 11:38:40 dhclient[42632]: DHCPREQUEST on em0 to 192.168.40.254 port 67","<30>Oct 25 11:38:40 dhclient[42632]: DHCPREQUEST on em0 to 192.168.40.254 port 67",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:38:00.041",1,1,wNrvDoQBvD32VbPeYmpT,"syslog-2022.10.25","-","<78>Oct 25 11:38:00 /usr/sbin/cron[85204]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:38:00 /usr/sbin/cron[85204]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 11:38:00 /usr/sbin/cron[85204]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:38:00 /usr/sbin/cron[85204]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:37:00.020",1,1,v9ruDoQBvD32VbPed2rd,"syslog-2022.10.25","-","<78>Oct 25 11:37:00 /usr/sbin/cron[67721]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:37:00 /usr/sbin/cron[67721]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 11:37:00 /usr/sbin/cron[67721]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:37:00 /usr/sbin/cron[67721]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:36:00.024",1,1,udrtDoQBvD32VbPejWqC,"syslog-2022.10.25","-","<78>Oct 25 11:36:00 /usr/sbin/cron[47832]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:36:00 /usr/sbin/cron[47832]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 11:36:00 /usr/sbin/cron[47832]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:36:00 /usr/sbin/cron[47832]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:35:00.020",1,1,o9rsDoQBvD32VbPeo2of,"syslog-2022.10.25","-","<78>Oct 25 11:35:00 /usr/sbin/cron[25928]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:35:00 /usr/sbin/cron[25928]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 11:35:00 /usr/sbin/cron[25928]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:35:00 /usr/sbin/cron[25928]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:35:00.020",1,1,pNrsDoQBvD32VbPeo2of,"syslog-2022.10.25","-","<78>Oct 25 11:35:00 /usr/sbin/cron[26073]: (root) CMD (/usr/libexec/atrun)","<78>Oct 25 11:35:00 /usr/sbin/cron[26073]: (root) CMD (/usr/libexec/atrun)","192.168.169.1","192.168.169.1","<78>Oct 25 11:35:00 /usr/sbin/cron[26073]: (root) CMD (/usr/libexec/atrun)","<78>Oct 25 11:35:00 /usr/sbin/cron[26073]: (root) CMD (/usr/libexec/atrun)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:34:00.020",1,1,"oNrrDoQBvD32VbPeuGq-","syslog-2022.10.25","-","<78>Oct 25 11:34:00 /usr/sbin/cron[5396]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:34:00 /usr/sbin/cron[5396]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 11:34:00 /usr/sbin/cron[5396]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:34:00 /usr/sbin/cron[5396]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:33:00.020",1,1,ntrqDoQBvD32VbPezmpe,"syslog-2022.10.25","-","<78>Oct 25 11:33:00 /usr/sbin/cron[84553]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:33:00 /usr/sbin/cron[84553]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 11:33:00 /usr/sbin/cron[84553]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:33:00 /usr/sbin/cron[84553]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
