,@timestamp,event.original,host.ip,tags,type,filterlog0,filterlog1,filterlog2,filterlog3,filterlog4,filterlog5,filterlog6,filterlog7,filterlog8,filterlog9,filterlog10,filterlog11,filterlog12,filterlog13,filterlog14,filterlog15,filterlog16,filterlog17,filterlog18,filterlog19,filterlog20,filterlog21,filterlog22,filterlog23,filterlog24,filterlog25,filterlog26,filterlog27,filterlog28
119,"Oct 25, 2022 @ 04:24:00.340","<134>Oct 25 11:24:00 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,6448,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33218,80,0,S,850648875,,64240,,mss;sackOK;TS;nop;wscale",192.168.169.1,syslog,syslog,<134>Oct 25 11:24:00 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,6448,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33218,80,0,S,850648875,,64240,,mss;sackOK;TS;nop;wscale
126,"Oct 25, 2022 @ 04:23:25.862","<134>Oct 25 11:23:25 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,36940,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33204,80,0,S,1265202183,,64240,,mss;sackOK;TS;nop;wscale",192.168.169.1,syslog,syslog,<134>Oct 25 11:23:25 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,36940,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33204,80,0,S,1265202183,,64240,,mss;sackOK;TS;nop;wscale
127,"Oct 25, 2022 @ 04:23:25.861","<134>Oct 25 11:23:25 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,38784,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33224,80,0,S,1047526914,,64240,,mss;sackOK;TS;nop;wscale",192.168.169.1,syslog,syslog,<134>Oct 25 11:23:25 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,38784,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33224,80,0,S,1047526914,,64240,,mss;sackOK;TS;nop;wscale
128,"Oct 25, 2022 @ 04:23:25.861","<134>Oct 25 11:23:25 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,6447,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33218,80,0,S,850648875,,64240,,mss;sackOK;TS;nop;wscale",192.168.169.1,syslog,syslog,<134>Oct 25 11:23:25 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,6447,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33218,80,0,S,850648875,,64240,,mss;sackOK;TS;nop;wscale
129,"Oct 25, 2022 @ 04:23:09.658","<134>Oct 25 11:23:09 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,36939,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33204,80,0,S,1265202183,,64240,,mss;sackOK;TS;nop;wscale",192.168.169.1,syslog,syslog,<134>Oct 25 11:23:09 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,36939,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33204,80,0,S,1265202183,,64240,,mss;sackOK;TS;nop;wscale
130,"Oct 25, 2022 @ 04:23:09.658","<134>Oct 25 11:23:09 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,38783,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33224,80,0,S,1047526914,,64240,,mss;sackOK;TS;nop;wscale",192.168.169.1,syslog,syslog,<134>Oct 25 11:23:09 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,38783,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33224,80,0,S,1047526914,,64240,,mss;sackOK;TS;nop;wscale
131,"Oct 25, 2022 @ 04:23:09.658","<134>Oct 25 11:23:09 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,6446,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33218,80,0,S,850648875,,64240,,mss;sackOK;TS;nop;wscale",192.168.169.1,syslog,syslog,<134>Oct 25 11:23:09 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,6446,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33218,80,0,S,850648875,,64240,,mss;sackOK;TS;nop;wscale
132,"Oct 25, 2022 @ 04:23:01.560","<134>Oct 25 11:23:01 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,6445,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33218,80,0,S,850648875,,64240,,mss;sackOK;TS;nop;wscale",192.168.169.1,syslog,syslog,<134>Oct 25 11:23:01 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,6445,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33218,80,0,S,850648875,,64240,,mss;sackOK;TS;nop;wscale
133,"Oct 25, 2022 @ 04:23:01.560","<134>Oct 25 11:23:01 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,38782,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33224,80,0,S,1047526914,,64240,,mss;sackOK;TS;nop;wscale",192.168.169.1,syslog,syslog,<134>Oct 25 11:23:01 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,38782,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33224,80,0,S,1047526914,,64240,,mss;sackOK;TS;nop;wscale
134,"Oct 25, 2022 @ 04:23:01.560","<134>Oct 25 11:23:01 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,36938,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33204,80,0,S,1265202183,,64240,,mss;sackOK;TS;nop;wscale",192.168.169.1,syslog,syslog,<134>Oct 25 11:23:01 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,36938,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33204,80,0,S,1265202183,,64240,,mss;sackOK;TS;nop;wscale
