"@timestamp","host.hostname","event.action","event.module","file.owner","file.path","file.size","file.type","process.args"
"Oct 26, 2022 @ 01:35:43.803",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/64.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.801",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/64.r4ns0mE.r4ns0mE","1,267",file,"-"
"Oct 26, 2022 @ 01:35:43.799",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/77.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.790",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/77.r4ns0mE.r4ns0mE","1,326",file,"-"
"Oct 26, 2022 @ 01:35:43.789",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/130.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.786",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/130.r4ns0mE.r4ns0mE","1,044",file,"-"
"Oct 26, 2022 @ 01:35:43.784",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/55.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.781",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/55.r4ns0mE.r4ns0mE","1,464",file,"-"
"Oct 26, 2022 @ 01:35:43.780",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/35.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.777",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/35.r4ns0mE.r4ns0mE","1,419",file,"-"
"Oct 26, 2022 @ 01:35:43.776",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/69.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.773",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/69.r4ns0mE.r4ns0mE","1,164",file,"-"
"Oct 26, 2022 @ 01:35:43.772",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/43.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.769",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/43.r4ns0mE.r4ns0mE","1,391",file,"-"
"Oct 26, 2022 @ 01:35:43.767",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/123.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.764",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/123.r4ns0mE.r4ns0mE","1,141",file,"-"
"Oct 26, 2022 @ 01:35:43.763",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/44.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.760",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/44.r4ns0mE.r4ns0mE","1,227",file,"-"
"Oct 26, 2022 @ 01:35:43.759",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/99.r4ns0mE","-","-","-"
