"@timestamp","event.type","event.module","event.action","file.path","file.owner","file.type","file.size"
"Oct 24, 2022 @ 17:03:07.815",change,"file_integrity","attributes_modified","/var/backups/backup.tgz",root,file,"2,570,240"
"Oct 24, 2022 @ 17:03:07.645",deletion,"file_integrity",deleted,"/var/research/3204ResearchMaterials/witches.jpeg","-","-","-"
"Oct 24, 2022 @ 17:03:07.237",creation,"file_integrity",created,"/var/research/3204ResearchMaterials/witches.lock64",root,file,"119,432"
"Oct 24, 2022 @ 17:03:07.033",deletion,"file_integrity",deleted,"/var/research/3204ResearchMaterials/crying-cat-in-shower.jpg","-","-","-"
"Oct 24, 2022 @ 17:03:06.024",creation,"file_integrity",created,"/var/research/3204ResearchMaterials/crying-cat-in-shower.lock64",root,file,"35,352"
"Oct 24, 2022 @ 17:03:05.452",deletion,"file_integrity",deleted,"/var/research/3204ResearchMaterials/gudetama-1.png","-","-","-"
"Oct 24, 2022 @ 17:03:03.667",creation,"file_integrity",created,"/var/research/3204ResearchMaterials/gudetama-1.lock64",root,file,"40,824"
"Oct 24, 2022 @ 17:03:02.460",deletion,"file_integrity",deleted,"/var/research/3204ResearchMaterials/SIT_logo_2.png","-","-","-"
"Oct 24, 2022 @ 17:03:00.848",creation,"file_integrity",created,"/var/research/3204ResearchMaterials/SIT_logo_2.lock64",root,file,"18,712"
"Oct 24, 2022 @ 17:03:00.660",deletion,"file_integrity",deleted,"/var/research/3204ResearchMaterials/excel-sample-1.xlsx","-","-","-"
"Oct 24, 2022 @ 17:03:00.504",creation,"file_integrity",created,"/var/research/3204ResearchMaterials/excel-sample-1.lock64",root,file,"6,216"
"Oct 24, 2022 @ 17:03:00.414",deletion,"file_integrity",deleted,"/var/research/3204ResearchMaterials/3204lab-test-results-1.xlsx","-","-","-"
"Oct 24, 2022 @ 17:03:00.214",creation,"file_integrity",created,"/var/research/3204ResearchMaterials/3204lab-test-results-1.lock64",root,file,"8,696"
"Oct 24, 2022 @ 17:03:00.125",deletion,"file_integrity",deleted,"/var/research/research2.pdf","-","-","-"
"Oct 24, 2022 @ 17:02:59.947",creation,"file_integrity",created,"/var/research/research2.lock64",root,file,24
"Oct 24, 2022 @ 17:02:59.836",deletion,"file_integrity",deleted,"/var/research/3204ResearchMaterials/[FORM] Code of Conduct ICT Legal 2019.pdf","-","-","-"
"Oct 24, 2022 @ 17:02:59.378",creation,"file_integrity",created,"/var/research/3204ResearchMaterials/[FORM] Code of Conduct ICT Legal 2019.lock64",root,file,"802,184"
"Oct 24, 2022 @ 17:02:59.183",deletion,"file_integrity",deleted,"/var/research/3204ResearchMaterials/Details-of-Deliverable-1_ICT3203.pdf","-","-","-"
"Oct 24, 2022 @ 17:02:58.843",creation,"file_integrity",created,"/var/research/3204ResearchMaterials/Details-of-Deliverable-1_ICT3203.lock64",root,file,"210,088"
"Oct 24, 2022 @ 17:02:58.727",deletion,"file_integrity",deleted,"/var/research/research1.pdf","-","-","-"
"Oct 24, 2022 @ 17:02:58.542",creation,"file_integrity",created,"/var/research/research1.lock64",root,file,24
"Oct 24, 2022 @ 17:02:58.442",deletion,"file_integrity",deleted,"/var/research/3204ResearchMaterials/random-word-doc-1.docx","-","-","-"
