"@timestamp",message,"process.name","user.effective.name","system.auth.sudo.user","system.auth.sudo.error","system.auth.sudo.command"
"Oct 24, 2022 @ 23:38:40.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:38:40.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:38:10.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:38:10.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:38:03.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:38:03.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:37:57.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:37:57.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:37:56.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:37:56.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:37:36.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:37:36.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:37:30.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:37:30.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:37:25.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:37:25.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:37:19.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
