"@timestamp","file.type","file.path","event.type","file.mode","file.owner","file.extension"
"Oct 25, 2022 @ 00:29:27.306",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/objects/e8/6046680a88e7579021058ed4647b8f08fe486e",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:29:27.163",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/objects/e0/7eaa8433f318698f92f7824044f9db428785a2",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:29:26.855",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/objects/b2/4ab7468b2d8ae38f44b683d3a48565363085f2",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:29:26.700",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/objects/45/a56e0606bfc82a751964c0dd17eefc01a423fc",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:29:26.504",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/config",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:29:26.386",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/HEAD",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:29:26.250",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/refs/remotes/origin/HEAD",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:29:25.822",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/refs/heads/main",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:29:25.359",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/info/exclude",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:29:25.201",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/hooks/update.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:29:25.134",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/hooks/prepare-commit-msg.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:29:25.067",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/hooks/pre-rebase.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:29:24.914",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/hooks/pre-push.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:29:24.825",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/hooks/pre-commit.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:29:24.644",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/hooks/pre-applypatch.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:29:24.577",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/hooks/fsmonitor-watchman.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:29:24.510",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/hooks/commit-msg.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:29:24.432",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/hooks/pre-receive.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:29:24.365",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/hooks/post-update.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:29:24.270",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/hooks/applypatch-msg.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:29:23.830",file,"/home/resch/destination/.scripts/CVE-2021-3156/shellcode.c",creation,0644,resch,c
"Oct 25, 2022 @ 00:29:23.284",file,"/home/resch/destination/.scripts/file_and_dir_discovery.sh",creation,0755,resch,sh
"Oct 25, 2022 @ 00:29:22.756",file,"/home/resch/destination/.scripts/exfiltration_target.sh",creation,0755,resch,sh
