@timestamp,error.message,event.module,event.type,file.ctime,file.extension,file.gid,file.owner,file.path,file.size,file.type,host.ip,
"Oct 25, 2022 @ 01:53:13.642",moved,change,-,-,-,-,/home/resch/destination/.findfs.YmCfkI,/home/resch/destination/.findfs.YmCfkI,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.640",created,creation,"Oct 25, 2022 @ 01:53:13.605",-,0,root,/home/resch/destination/fdisk,/home/resch/destination/fdisk,"125,056",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.638",moved,change,-,-,-,-,/home/resch/destination/.fdisk.2YnC8H,/home/resch/destination/.fdisk.2YnC8H,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.631",created,creation,"Oct 25, 2022 @ 01:53:13.605",-,0,root,/home/resch/destination/ldconfig,/home/resch/destination/ldconfig,387,file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.629",moved,change,-,-,-,-,/home/resch/destination/.ldconfig.iC6ekE,/home/resch/destination/.ldconfig.iC6ekE,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.627",created,creation,"Oct 25, 2022 @ 01:53:13.595",-,0,root,/home/resch/destination/fsfreeze,/home/resch/destination/fsfreeze,"10,312",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.625",moved,change,-,-,-,-,/home/resch/destination/.fsfreeze.0Amx5D,/home/resch/destination/.fsfreeze.0Amx5D,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.622",created,creation,"Oct 25, 2022 @ 01:53:13.595",-,0,root,/home/resch/destination/debugfs,/home/resch/destination/debugfs,"222,688",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.621",moved,change,-,-,-,-,/home/resch/destination/.debugfs.kjdtPE,/home/resch/destination/.debugfs.kjdtPE,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.616",created,creation,"Oct 25, 2022 @ 01:53:13.595",-,0,root,/home/resch/destination/killall5,/home/resch/destination/killall5,"22,608",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.615",moved,change,-,-,-,-,/home/resch/destination/.killall5.qrtADE,/home/resch/destination/.killall5.qrtADE,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.612",created,creation,"Oct 25, 2022 @ 01:53:13.585",-,0,root,/home/resch/destination/sfdisk,/home/resch/destination/sfdisk,"108,624",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.611",moved,change,-,-,-,-,/home/resch/destination/.sfdisk.R8dutF,/home/resch/destination/.sfdisk.R8dutF,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.609",created,creation,"Oct 25, 2022 @ 01:53:13.585",minix,0,root,/home/resch/destination/mkfs.minix,/home/resch/destination/mkfs.minix,"79,960",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.607",moved,change,-,-,-,-,/home/resch/destination/.mkfs.minix.qEyuhF,/home/resch/destination/.mkfs.minix.qEyuhF,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.605",created,creation,"Oct 25, 2022 @ 01:53:13.585",-,0,root,/home/resch/destination/swapoff,/home/resch/destination/swapoff,"18,504",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.603",moved,change,-,-,-,-,/home/resch/destination/.swapoff.HFKFeG,/home/resch/destination/.swapoff.HFKFeG,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.602",created,creation,"Oct 25, 2022 @ 01:53:13.575",cramfs,0,root,/home/resch/destination/mkfs.cramfs,/home/resch/destination/mkfs.cramfs,"34,824",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.600",moved,change,-,-,-,-,/home/resch/destination/.mkfs.cramfs.UiAaSF,/home/resch/destination/.mkfs.cramfs.UiAaSF,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.598",created,creation,"Oct 25, 2022 @ 01:53:13.575",-,0,root,/home/resch/destination/start-stop-daemon,/home/resch/destination/start-stop-daemon,"35,944",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.597",moved,change,-,-,-,-,/home/resch/destination/.start-stop-daemon.TtooGF,/home/resch/destination/.start-stop-daemon.TtooGF,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.595",created,creation,"Oct 25, 2022 @ 01:53:13.575",-,0,root,/home/resch/destination/runuser,/home/resch/destination/runuser,"43,080",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.594",moved,change,-,-,-,-,/home/resch/destination/.runuser.6ABLWB,/home/resch/destination/.runuser.6ABLWB,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.592",created,creation,"Oct 25, 2022 @ 01:53:13.565",-,0,root,/home/resch/destination/tune2fs,/home/resch/destination/tune2fs,"104,704",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.590",moved,change,-,-,-,-,/home/resch/destination/.tune2fs.jqYqCB,/home/resch/destination/.tune2fs.jqYqCB,-,-,"172.17.0.3, 172.18.0.2",
